driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
rosberg,mercedes,9,1,9,9,2,57,+41.126,5801624.0,48.0,4.0,1:37.588,199.647,Finished
button,mclaren,5,10,10,10,1,57,+46.631,5807129.0,49.0,6.0,1:37.743,199.330,Finished
maldonado,williams,16,17,11,11,0,57,+1:06.450,5826948.0,57.0,17.0,1:38.962,196.875,Finished
hulkenberg,sauber,11,14,12,12,0,57,+1:12.933,5833431.0,43.0,15.0,1:38.770,197.258,Finished
sutil,force_india,15,6,13,13,0,57,+1:16.719,5837217.0,44.0,2.0,1:37.070,200.712,Finished
bottas,williams,17,15,14,14,0,57,+1:21.511,5842009.0,57.0,9.0,1:38.192,198.419,Finished
massa,ferrari,4,4,15,15,0,57,+1:26.364,5846862.0,42.0,16.0,1:38.839,197.120,Finished
ricciardo,toro_rosso,19,13,16,16,0,56,,,51.0,21.0,1:39.579,195.655,+1 Lap
pic,caterham,20,18,17,17,0,56,,,37.0,20.0,1:39.546,195.720,+1 Lap
gutierrez,sauber,12,22,18,18,0,56,,,45.0,10.0,1:38.202,198.399,+1 Lap
jules_bianchi,marussia,22,19,19,19,0,56,,,50.0,14.0,1:38.756,197.286,+1 Lap
chilton,marussia,23,21,20,20,0,56,,,50.0,18.0,1:39.279,196.246,+1 Lap
garde,caterham,21,20,21,21,0,55,,,49.0,19.0,1:39.334,196.138,+2 Laps
vergne,toro_rosso,18,16,22,R,0,16,,,4.0,22.0,1:43.107,188.960,Puncture
alonso,ferrari,3,5,1,1,25,66,1:39:16.596,5956596.0,53.0,5.0,1:26.681,193.329,Finished
raikkonen,lotus_f1,7,4,2,2,18,66,+9.338,5965934.0,47.0,6.0,1:26.757,193.160,Finished
massa,ferrari,4,9,3,3,15,66,+26.049,5982645.0,56.0,2.0,1:26.394,193.971,Finished
vettel,red_bull,1,3,4,4,12,66,+38.273,5994869.0,55.0,9.0,1:27.036,192.541,Finished
webber,red_bull,2,7,5,5,10,66,+47.963,6004559.0,55.0,8.0,1:27.017,192.583,Finished
rosberg,mercedes,9,1,6,6,8,66,+1:08.020,6024616.0,56.0,11.0,1:27.591,191.321,Finished
resta,force_india,14,10,7,7,6,66,+1:08.988,6025584.0,55.0,7.0,1:26.776,193.117,Finished
button,mclaren,5,14,8,8,4,66,+1:19.506,6036102.0,55.0,14.0,1:27.957,190.524,Finished
perez,mclaren,6,8,9,9,2,66,+1:21.738,6038334.0,55.0,10.0,1:27.251,192.066,Finished
ricciardo,toro_rosso,19,11,10,10,1,65,,,55.0,16.0,1:28.083,190.252,+1 Lap
gutierrez,sauber,12,19,11,11,0,65,,,56.0,1.0,1:26.217,194.370,+1 Lap
hamilton,mercedes,10,2,12,12,0,65,,,53.0,13.0,1:27.895,190.659,+1 Lap
sutil,force_india,15,13,13,13,0,65,,,38.0,3.0,1:26.564,193.590,+1 Lap
maldonado,williams,16,17,14,14,0,65,,,56.0,12.0,1:27.849,190.759,+1 Lap
hulkenberg,sauber,11,15,15,15,0,65,,,58.0,4.0,1:26.586,193.541,+1 Lap
bottas,williams,17,16,16,16,0,65,,,27.0,20.0,1:29.747,186.724,+1 Lap
pic,caterham,20,22,17,17,0,65,,,43.0,19.0,1:29.362,187.529,+1 Lap
jules_bianchi,marussia,22,20,18,18,0,64,,,55.0,18.0,1:28.884,188.537,+2 Laps
chilton,marussia,23,21,19,19,0,64,,,49.0,15.0,1:28.011,190.408,+2 Laps
vergne,toro_rosso,18,12,20,20,0,52,,,41.0,17.0,1:28.231,189.933,Accident
garde,caterham,21,18,21,21,0,21,,,11.0,21.0,1:30.597,184.973,Wheel
grosjean,lotus_f1,8,6,22,22,0,8,,,5.0,22.0,1:31.136,183.879,Suspension
rosberg,mercedes,9,1,1,1,25,78,2:17:52.056,8272056.0,74.0,6.0,1:18.327,153.510,Finished
vettel,red_bull,1,3,2,2,18,78,+3.888,8275944.0,77.0,1.0,1:16.577,157.018,Finished
webber,red_bull,2,4,3,3,15,78,+6.314,8278370.0,77.0,4.0,1:18.262,153.637,Finished
hamilton,mercedes,10,2,4,4,12,78,+13.894,8285950.0,76.0,3.0,1:18.133,153.891,Finished
sutil,force_india,15,8,5,5,10,78,+21.477,8293533.0,74.0,5.0,1:18.292,153.578,Finished
button,mclaren,5,9,6,6,8,78,+23.103,8295159.0,76.0,8.0,1:18.720,152.743,Finished
alonso,ferrari,3,6,7,7,6,78,+26.734,8298790.0,77.0,12.0,1:19.340,151.550,Finished
vergne,toro_rosso,18,10,8,8,4,78,+27.223,8299279.0,77.0,10.0,1:19.151,151.912,Finished
resta,force_india,14,17,9,9,2,78,+27.608,8299664.0,77.0,11.0,1:19.215,151.789,Finished
raikkonen,lotus_f1,7,5,10,10,1,78,+36.582,8308638.0,78.0,2.0,1:17.392,155.364,Finished
hulkenberg,sauber,11,11,11,11,0,78,+42.572,8314628.0,29.0,15.0,1:19.853,150.576,Finished
bottas,williams,17,14,12,12,0,78,+42.691,8314747.0,68.0,20.0,1:20.921,148.589,Finished
gutierrez,sauber,12,19,13,13,0,78,+43.212,8315268.0,71.0,7.0,1:18.685,152.811,Finished
chilton,marussia,23,22,14,14,0,78,+49.885,8321941.0,78.0,9.0,1:19.016,152.171,Finished
garde,caterham,21,15,15,15,0,78,+1:02.590,8334646.0,50.0,17.0,1:20.494,149.377,Finished
perez,mclaren,6,7,16,16,0,72,,,27.0,14.0,1:19.530,151.188,Suspension
