driverId,constructorId,number,position,Q1,Q2,Q3
heidfeld,renault,9,6,1:37.224,1:36.811,1:36.124
hamilton,mclaren,4,1,1:26.800,1:25.626,1:24.922
button,mclaren,3,2,1:26.832,1:25.663,1:25.074
grosjean,lotus_f1,10,3,1:26.498,1:25.845,1:25.302
michael_schumacher,mercedes,7,4,1:26.586,1:25.571,1:25.336
webber,red_bull,2,5,1:27.117,1:26.597,1:25.651
vettel,red_bull,1,6,1:26.773,1:25.982,1:25.668
rosberg,mercedes,8,7,1:26.763,1:25.469,1:25.686
maldonado,williams,18,8,1:26.803,1:26.206,1:25.908
hulkenberg,force_india,12,9,1:27.464,1:26.314,1:26.451
ricciardo,toro_rosso,16,10,1:27.024,1:26.319,
vergne,toro_rosso,17,11,1:26.493,1:26.429,
alonso,ferrari,5,12,1:26.688,1:26.494,
kobayashi,sauber,14,13,1:26.182,1:26.590,
bruno_senna,williams,19,14,1:27.004,1:26.663,
resta,force_india,11,15,1:27.469,1:27.086,
massa,ferrari,6,16,1:27.633,1:27.497,
perez,sauber,15,17,1:26.596,,
raikkonen,lotus_f1,9,18,1:27.758,,
kovalainen,caterham,20,19,1:28.679,,
petrov,caterham,21,20,1:29.018,,
glock,marussia,24,21,1:30.923,,
pic,marussia,25,22,1:31.670,,
rosa,hrt,22,23,1:33.495,,
karthikeyan,hrt,23,24,1:33.643,,
hamilton,mclaren,4,1,1:37.813,1:37.106,1:36.219
button,mclaren,3,2,1:37.575,1:36.928,1:36.368
michael_schumacher,mercedes,7,3,1:37.517,1:37.017,1:36.391
webber,red_bull,2,4,1:37.172,1:37.375,1:36.461
raikkonen,lotus_f1,9,5,1:37.961,1:36.715,1:36.461
vettel,red_bull,1,6,1:38.102,1:37.419,1:36.634
vettel,red_bull,1,1,1:44.657,1:36.745,1:27.407
webber,red_bull,2,2,1:44.472,1:36.524,1:27.827
hamilton,mercedes,10,3,1:45.456,1:36.625,1:28.087
massa,ferrari,4,4,1:44.635,1:36.666,1:28.490
alonso,ferrari,3,5,1:43.850,1:36.691,1:28.493
rosberg,mercedes,9,6,1:43.380,1:36.194,1:28.523
raikkonen,lotus_f1,7,7,1:45.545,1:37.517,1:28.738
grosjean,lotus_f1,8,8,1:44.284,1:37.641,1:29.013
resta,force_india,14,9,1:45.601,1:36.901,1:29.305
button,mclaren,5,10,1:44.688,1:36.644,1:30.357
hulkenberg,sauber,11,11,1:45.930,1:38.067,
sutil,force_india,15,12,1:47.330,1:38.134,
vergne,toro_rosso,18,13,1:44.871,1:38.778,
ricciardo,toro_rosso,19,14,1:46.450,1:39.042,
perez,mclaren,6,15,1:44.400,1:39.900,
bottas,williams,17,16,1:47.328,1:40.290,
maldonado,williams,16,17,1:47.614,,
