driverId,points,position,positionText,wins
klien,0.0,27,27,0
vettel,25.0,1,1,1
hamilton,18.0,2,2,0
petrov,15.0,3,3,0
alonso,12.0,4,4,0
webber,10.0,5,5,0
button,8.0,6,6,0
massa,6.0,7,7,0
buemi,4.0,8,8,0
sutil,2.0,9,9,0
resta,1.0,10,10,0
alguersuari,0.0,11,11,0
heidfeld,0.0,12,12,0
trulli,0.0,13,13,0
ambrosio,0.0,14,14,0
glock,0.0,15,15,0
barrichello,0.0,16,16,0
rosberg,0.0,17,17,0
kovalainen,0.0,18,18,0
michael_schumacher,0.0,19,19,0
maldonado,0.0,20,20,0
vettel,50.0,1,1,2
button,26.0,2,2,0
hamilton,22.0,3,3,0
webber,22.0,4,4,0
alonso,20.0,5,5,0
massa,16.0,6,6,0
heidfeld,15.0,7,7,0
petrov,15.0,8,8,0
kobayashi,6.0,9,9,0
buemi,4.0,10,10,0
sutil,2.0,11,11,0
michael_schumacher,2.0,12,12,0
resta,2.0,13,13,0
alguersuari,0.0,14,14,0
rosberg,0.0,15,15,0
trulli,0.0,16,16,0
ambrosio,0.0,17,17,0
kovalainen,0.0,18,18,0
glock,0.0,19,19,0
perez,0.0,20,20,0
barrichello,0.0,21,21,0
liuzzi,0.0,22,22,0
maldonado,0.0,23,23,0
karthikeyan,0.0,24,24,0
vettel,68.0,1,1,2
hamilton,47.0,2,2,1
button,38.0,3,3,0
webber,37.0,4,4,0
alonso,26.0,5,5,0
massa,24.0,6,6,0
petrov,17.0,7,7,0
heidfeld,15.0,8,8,0
rosberg,10.0,9,9,0
kobayashi,7.0,10,10,0
michael_schumacher,6.0,11,11,0
buemi,4.0,12,12,0
sutil,2.0,13,13,0
resta,2.0,14,14,0
alguersuari,0.0,15,15,0
trulli,0.0,16,16,0
barrichello,0.0,17,17,0
ambrosio,0.0,18,18,0
kovalainen,0.0,19,19,0
glock,0.0,20,20,0
perez,0.0,21,21,0
maldonado,0.0,22,22,0
liuzzi,0.0,23,23,0
karthikeyan,0.0,24,24,0
vettel,93.0,1,1,3
hamilton,59.0,2,2,1
