driverId,points,position,positionText,wins
alguersuari,3.0,19,19,0
kovalainen,0.0,20,20,0
trulli,0.0,21,21,0
chandhok,0.0,22,22,0
grassi,0.0,23,23,0
glock,0.0,24,24,0
bruno_senna,0.0,25,25,0
yamamoto,0.0,26,26,0
klien,0.0,27,27,0
alonso,231.0,1,1,5
webber,220.0,2,2,4
hamilton,210.0,3,3,3
vettel,206.0,4,4,3
button,189.0,5,5,2
massa,143.0,6,6,0
kubica,124.0,7,7,0
rosberg,122.0,8,8,0
michael_schumacher,66.0,9,9,0
barrichello,47.0,10,10,0
sutil,47.0,11,11,0
kobayashi,31.0,12,12,0
liuzzi,21.0,13,13,0
petrov,19.0,14,14,0
hulkenberg,18.0,15,15,0
buemi,8.0,16,16,0
rosa,6.0,17,17,0
heidfeld,6.0,18,18,0
alguersuari,3.0,19,19,0
kovalainen,0.0,20,20,0
trulli,0.0,21,21,0
chandhok,0.0,22,22,0
bruno_senna,0.0,23,23,0
grassi,0.0,24,24,0
glock,0.0,25,25,0
yamamoto,0.0,26,26,0
klien,0.0,27,27,0
alonso,246.0,1,1,5
webber,238.0,2,2,4
vettel,231.0,3,3,4
hamilton,222.0,4,4,3
button,199.0,5,5,2
massa,143.0,6,6,0
rosberg,130.0,7,7,0
kubica,126.0,8,8,0
michael_schumacher,72.0,9,9,0
barrichello,47.0,10,10,0
sutil,47.0,11,11,0
kobayashi,32.0,12,12,0
hulkenberg,22.0,13,13,0
liuzzi,21.0,14,14,0
petrov,19.0,15,15,0
buemi,8.0,16,16,0
rosa,6.0,17,17,0
heidfeld,6.0,18,18,0
alguersuari,3.0,19,19,0
kovalainen,0.0,20,20,0
trulli,0.0,21,21,0
chandhok,0.0,22,22,0
bruno_senna,0.0,23,23,0
grassi,0.0,24,24,0
glock,0.0,25,25,0
yamamoto,0.0,26,26,0
klien,0.0,27,27,0
vettel,256.0,1,1,5
alonso,252.0,2,2,5
webber,242.0,3,3,4
hamilton,240.0,4,4,3
button,214.0,5,5,2
massa,144.0,6,6,0
rosberg,142.0,7,7,0
kubica,136.0,8,8,0
michael_schumacher,72.0,9,9,0
barrichello,47.0,10,10,0
sutil,47.0,11,11,0
kobayashi,32.0,12,12,0
petrov,27.0,13,13,0
hulkenberg,22.0,14,14,0
liuzzi,21.0,15,15,0
buemi,8.0,16,16,0
rosa,6.0,17,17,0
heidfeld,6.0,18,18,0
alguersuari,5.0,19,19,0
kovalainen,0.0,20,20,0
trulli,0.0,21,21,0
chandhok,0.0,22,22,0
bruno_senna,0.0,23,23,0
grassi,0.0,24,24,0
glock,0.0,25,25,0
yamamoto,0.0,26,26,0
